,city,var
0,רחובות,28.309835689077673
1,בת ים,40.89459239432169
2,אלעד,14.343251782807949
3,רעננה,35.657048745863065
4,אופקים,43.74803292917795
5,מטה יהודה,54.60909206142729
6,ברנר,3.1168301179753852
7,תל אביב-יפו,20.239495705804195
8,קרית טבעון,80.18126845231491
9,ירושלים,9.949014954238848
10,ראשון לציון,30.508266099555556
11,חוף הכרמל,28.79510634059507
12,חיפה,27.275877572906637
13,פתח תקוה,21.57046948953305
14,בני ברק,16.02307897458755
15,צפת,26.880180492264927
16,בית שמש,19.616582695542753
17,נתניה,26.55974740526881
18,גן רוה,27.938186301864647
19,מרחבים,117.30343500955084
20,מגדל העמק,12.903786250407379
21,חוף אשקלון,30.402129763174134
22,חדרה,44.26594992426304
23,אשדוד,25.361824150935654
24,באר טוביה,31.27371117377222
25,בית שאן,72.48689690380728
26,קרית גת,18.321747654521847
27,שפיר,32.110797110408406
28,נתיבות,22.520706966014505
29,קרית ביאליק,21.55163870849097
30,נס ציונה,70.02588688571961
31,נחל שורק,23.74732663549342
32,עמק חפר,27.935565361389294
33,עספיא,25.769843735555597
34,שדות נגב עזתה,24.86777839824717
35,אור יהודה,14.63040488879213
36,חולון,38.55225764538393
37,גולן,25.611456663025308
38,טירה,55.26859929045127
39,עמק הירדן,22.731375645791584
40,ערד,32.88396132553627
41,נשר,8.455505378472228
42,ביתר עילית,16.236538072906438
43,מודיעין עילית,26.439847401522265
44,גזר,63.674177316858405
45,הגלבוע,79.99214460261251
46,לב השרון,231.89664695969302
47,קרית מוצקין,17.408197935964008
48,יבנאל,46.067895905818304
49,כפר סבא,23.847429805463396
50,קרית אתא,45.025998349779435
51,נוף הגליל,68.95809752847838
52,קרית ים,20.384195190098247
53,פוריידיס,52.963770692854006
54,אום אל-פחם,46.41246350829538
55,הרצליה,42.04132643870324
56,רמת השרון,11.098066465530293
57,אור עקיבא,44.89057925862653
58,ערערה,118.17642535017873
59,לוד,36.837766830924984
60,אבן יהודה,38.920545121994905
61,מודיעין מכבים רעות,61.82366988868236
62,באקה אל-גרביה,81.75208340270069
63,כפר מנדא,95.34855004046838
64,באר יעקב,43.67845048529907
65,נצרת,31.55226915842851
66,שפרעם,44.811508934228236
67,סח'נין,56.00530299923231
68,יבנה,21.583124052674417
69,טמרה,35.46711638299418
70,מג'אר,145.1930217899215
71,מעלה עירון,5.674634170674351
72,באר שבע,34.45530004256751
73,חבל יבנה,22.01471648410442
74,קרית שמונה,96.41471943669484
75,חבל אילות,
76,רמת גן,33.72160755107898
77,אבו גוש,73.39750618297168
78,צורן קדימה,15.964143534211773
79,זבולון,38.05982223500273
80,כרמיאל,46.64002458654062
81,מנשה,41.00540581167134
82,ירוחם,12.731073031602723
83,חצור הגלילית,47.23292159790527
84,נהריה,47.221176498914744
