,Unnamed: 0,instNum,instName,city,s\bagrut- list of schools.xlsx,es\main list - highschool.xlsx,all_files\school - bagrut.xlsx,list from students report.xlsx,nts/all_files\schools_utm.xlsx, list from school - money.xlsx
665,665,340604.0,גימנסיה כרמל אלנאג'אח,חיפה,True,True,True,True,True,True
666,666,340612.0,תיכון חיפה,חיפה,True,True,True,True,True,True
667,667,340653.0,גימנסיה חדרה,חדרה,True,True,True,True,True,True
668,668,340679.0,אוהל יהושע,חיפה,True,True,False,True,True,True
669,669,340695.0,תיכון לבנות בית יעקב,רכסים,True,True,False,True,True,True
670,670,340711.0,אור חדש - בנות,רכסים,True,True,True,True,True,True
671,671,340737.0,אולפנת צביה חיפה,חיפה,True,True,True,True,True,True
672,672,340778.0,אנקורי קרית ביאליק,קרית ביאליק,True,True,True,True,True,True
673,673,340802.0,ישיבת תומכי תמימים,חיפה,True,True,False,True,True,True
674,674,340810.0,אהלי שמואל,רכסים,True,True,False,True,True,True
675,675,342113.0,מקיף רוגוזין ב,קרית אתא,True,False,False,False,False,False
676,676,342170.0,"אולפנית אמי""ת או""ע",אור עקיבא,True,True,True,True,True,True
677,677,342329.0,ישיבת אהבת תורה,מודיעין עילית,True,True,False,True,True,True
678,678,342337.0,תיכון אסקנדר,אום אל-פחם,True,True,False,True,True,True
679,679,342352.0,תיכון קטאין אלשומר,אום אל-פחם,True,True,True,True,True,True
680,680,342394.0,גיל אלמוסתקבל,ירושלים,True,True,False,True,True,True
681,681,343970.0,על יסודי מאר מטרי,ירושלים,True,True,False,True,True,True
682,682,343996.0,מסילת יעקב,ירושלים,True,True,False,True,True,True
683,683,344028.0,חטב עמלנית רגבים,חיפה,True,False,False,True,True,False
684,684,344036.0,חטב עמלנית קורצ'ק,חיפה,True,False,False,True,True,False
685,685,344044.0,חטב עמל' אבן גבירול,חיפה,True,False,False,True,True,False
686,686,344085.0,רמת הדסה,קרית טבעון,True,True,True,True,True,True
687,687,344093.0,חטב ליאו בק,חיפה,True,True,False,False,False,False
688,688,344101.0,מקיף מופת בסמת,חיפה,True,True,True,True,True,True
689,689,344119.0,ישיבת ברסלב,בני ברק,True,True,False,True,True,True
690,690,344127.0,ישיבת תורה ושלום,בני ברק,True,True,False,True,True,True
691,691,344150.0,בית חיה מושקא,חיפה,True,True,True,True,True,True
692,692,344168.0,ישיבת כנסת יצחק,חדרה,True,True,False,True,True,True
693,693,344200.0,"אולפ' בנ""ע מ. ברוך",חדרה,True,True,True,True,True,True
694,694,344218.0,"חט""ב אורט אפק",קרית ביאליק,True,True,False,False,False,False
695,695,344226.0,ישיבת משכן יעקב,חיפה,True,True,False,True,True,True
696,696,344234.0,אורט רונסון עוספיה,עספיא,True,True,True,True,True,True
697,697,344291.0,"חט""ב חדשה ברמות יצחק",נשר,True,False,False,False,False,False
698,698,344309.0,ישיבת חסידי גור,חיפה,True,True,False,True,True,True
699,699,344325.0,מקיף חדש,חריש,True,False,False,False,False,False
700,700,344333.0,"חט""ב שניה- רמות יצחק",נשר,True,False,False,False,False,False
701,701,344341.0,ישיבת תהילת שלמה,חיפה,True,True,False,True,True,True
702,702,344366.0,"חט""ב ע""ש יצחק רבין",קרית מוצקין,True,True,False,False,False,False
703,703,344374.0,"חט""ב יהונתן נתניהו",קרית מוצקין,True,False,False,False,False,False
704,704,344382.0,תכון חדרה בית-אליעזר,חדרה,True,True,True,True,True,True
705,705,344408.0,"חט""ב רוגוזין א'",קרית אתא,True,False,False,False,False,False
706,706,344416.0,"מקיף חדש ע""ש רבין",קרית ים,True,True,True,True,True,True
707,707,344440.0,תיכון עתידים,אור עקיבא,True,True,True,True,True,True
708,708,344465.0,אחוזת ילדים,חיפה,True,False,False,True,True,False
709,709,344473.0,מקיף שש שנתי,קרית אתא,True,True,True,True,True,True
710,710,344499.0,בית יעקב-בית יפה,חדרה,True,True,False,True,True,True
711,711,344507.0,דגן,חיפה,True,True,False,False,False,False
712,712,344515.0,"חט""ב ממ""ד תחכמוני",חדרה,True,False,False,False,False,False
713,713,344531.0,ישיבה לצעירים,קרית אתא,True,True,False,True,True,True
714,714,344556.0,"חט""ב מוסמוס",מעלה עירון,True,False,False,False,False,False
715,715,344572.0,גמנסיה קריות פ.100,קרית מוצקין,True,True,True,True,True,True
716,716,344580.0,בית יעקב תהילה,חיפה,True,True,True,True,True,True
717,717,344598.0,נתיבות דרור,אור עקיבא,True,True,True,True,True,True
718,718,344911.0,אורט עירוני ד,מודיעין-מכבים-רעות,True,True,True,True,True,True
719,719,346023.0,תיכון בית יעקב,מודיעין עילית,True,True,False,True,True,True
720,720,346031.0,ישיבת יחל ישראל,חיפה,True,True,False,True,True,True
721,721,346098.0,תורת משה,ירושלים,True,True,False,True,True,True
722,722,346445.0,קנין התורה,בית שמש,True,True,False,True,True,True
723,723,346494.0,תיכון יד ביד,ירושלים,True,True,True,True,True,True
724,724,346502.0,זכרון דוד,בית שמש,True,True,False,True,True,True
725,725,346510.0,תורת אליהו,מחסיה,True,True,False,True,True,True
726,726,346635.0,פני יהושע,ירושלים,True,True,False,True,True,True
727,727,346932.0,צור ישראל,פסגות,True,True,True,True,True,True
728,728,347013.0,אורתודוקסי ערבי,חיפה,True,True,True,True,True,True
729,729,347021.0,נזירות נצרת,חיפה,True,True,True,True,True,True
730,730,347039.0,"ביה""ס האיטלקי",חיפה,True,True,True,True,True,True
731,731,347047.0,"חט""ב ב' - אלראזי",אום אל-פחם,True,True,False,True,True,True
732,732,347054.0,מקיף דאלית אל-כרמל,דאלית אל-כרמל,True,True,True,True,True,True
733,733,347062.0,"חט""ב עין ג'ראר",אום אל-פחם,True,True,True,True,True,True
734,734,347070.0,עתיד אלאהליה,אום אל-פחם,True,True,True,True,True,True
735,735,347088.0,עיס טכנולוגי כפר קרע,כפר קרע,True,True,False,True,True,True
736,736,347096.0,על יסודי אלחיה,"בסמ""ה",True,True,True,True,True,True
737,737,347112.0,אבן סינא,באקה אל-גרביה,True,True,True,True,True,True
738,738,347153.0,ניו בית עדנאן,ירכא,True,False,False,True,True,False
739,739,347757.0,סאדברי ירושלים,ירושלים,True,False,True,True,True,True
740,740,348011.0,תיכון טומשין אלנג'אח,באקה אל-גרביה,True,True,True,True,True,True
741,741,348029.0,"חט""ב אבן סינא",כפר קרע,True,False,False,False,False,False
742,742,348037.0,מקיף אם אל פחם,אום אל-פחם,True,True,True,True,True,True
743,743,348060.0,חטב ערערה משותף,ערערה,True,False,False,False,False,False
744,744,348102.0,אפאק,אום אל-פחם,True,False,False,True,True,False
745,745,348185.0,"ביה""ס גת המשולש",ג'ת,True,True,True,True,True,True
746,746,348193.0,תיכון כרמל,חיפה,True,True,True,True,True,True
747,747,348201.0,אלמנרה,ג'סר א-זרקא,True,True,True,True,True,True
748,748,348227.0,מקיף פרדיס,פוריידיס,True,True,True,True,True,True
749,749,348235.0,"חט""ב אל גזאלי",אום אל-פחם,True,False,False,False,False,False
750,750,348243.0,חטב ואדי אלנסור,אום אל-פחם,True,False,False,False,False,False
751,751,348250.0,תיכון ח'דיג'ה,אום אל-פחם,True,True,True,True,True,True
752,752,348276.0,מקיף נחל עירון,"בסמ""ה",True,False,False,False,False,False
753,753,348284.0,"חט""ב כפר קרע ב'",כפר קרע,True,False,False,False,False,False
754,754,348292.0,"חט""ב ברטעה","בסמ""ה",True,False,False,False,False,False
755,755,348318.0,תיכון מעלה עירון,מעלה עירון,True,True,True,True,True,True
756,756,348326.0,אלאנדלוס,באקה אל-גרביה,True,True,True,True,True,True
757,757,348334.0,עתיד טכנולוגי פרדיס,פוריידיס,True,True,True,True,True,True
758,758,348342.0,"עי""ס אלקאסמי",באקה אל-גרביה,True,True,True,True,True,True
759,759,348359.0,מקיף מושריפה,מעלה עירון,True,True,True,True,True,True
760,760,349027.0,חטב גת,ג'ת,True,False,False,False,False,False
761,761,349928.0,ניסויי על איזורי תפן,כפר ורדים,True,True,True,True,True,True
762,762,353441.0,אג'אל,נצרת,True,False,False,True,True,False
763,763,353581.0,"אולפנא אמי""ת",צפת,True,True,True,True,True,True
764,764,353599.0,אהבת ישראל,בית שמש,True,True,True,True,True,True
765,765,353706.0,הרים,בנימינה-גבעת עדה,True,False,False,True,True,False
766,766,356212.0,תיכון זכרון יעקב,זכרון יעקב,True,True,True,True,True,True
767,767,358127.0,המגשימים,ירושלים,True,False,False,True,True,False
768,768,358648.0,עטרת התורה,ירושלים,True,False,False,True,False,False
769,769,359034.0,אלחיאה,מג'ד אל-כרום,True,False,False,True,True,False
770,770,359059.0,סמינר חסידי ברסלב,ירושלים,True,True,True,True,True,True
