school,city,per student
220459,צפת,81779.87294
741140,גזר,81600.613
320440,פרדס חנה-כרכור,81586.49864
195958,ירושלים,81547.30283
455147,ירושלים,81305.7236
244137,נהריה,80990.78758
725390,רהט,80880.30364
347153,ירכא,80826.00041
428029,טירה,80226.11696
620062,אשקלון,79820.2357
268029,אבו גוש,79576.91795
520593,בני ברק,79361.51329
197723,מבשרת ציון,79231.64354
620377,אשקלון,78531.91901
359174,אכסאל,78475.69297
475780,ירושלים,77956.25063
723486,זבולון,77734.24151
195412,ירושלים,77687.59491
320556,קרית אתא,77548.94225
644211,באר שבע,77387.81214
220129,עפולה,77226.20622
444372,פתח תקוה,77202.35094
420505,רמלה,77072.89103
267211,כפר כנא,76520.61028
475848,בני ברק,76402.26184
320317,זכרון יעקב,76209.23632
120527,ירושלים,76044.31497
420208,שומרון,75369.88558
425900,ראשון לציון,75137.75072
620435,אופקים,75094.72944
420745,אבו גוש,74867.21128
442012,חבל מודיעין,74816.78428
228163,אעבלין,74462.76725
144568,ירושלים,74393.84396
128017,ירושלים,74099.68923
520072,חולון,73687.08745
266809,מודיעין מכבים רעות,73686.84539
442400,פתח תקוה,73514.8105
420950,רעננה,73422.95178
420786,עמק חפר,73150.44165
280016,עמק יזרעאל,72542.97108
520296,בני ברק,71881.84863
162016,ירושלים,71390.74838
442905,כפר סבא,71253.78535
344044,חיפה,71094.38334
526921,בת ים,70577.49795
480004,עמק חפר,70062.60011
420141,עפולה,68862.47238
320150,זבולון,67704.37846
770230,עמק חפר,66737.07151
195404,ירושלים,66610.69524
228635,נצרת,66311.25101
770214,עמק חפר,66280.99642
520171,תל אביב-יפו,65660.44951
480129,עמק חפר,65514.10543
503631,תל אביב-יפו,65245.94414
640441,משגב,64695.41119
525113,בני ברק,63949.74236
359182,אכסאל,63944.70856
320598,מנשה,63891.31482
420133,באר יעקב,63799.32516
328179,ירושלים,63752.68067
520288,תל אביב-יפו,63651.72341
120030,ירושלים,63621.89199
228494,אכסאל,63291.58925
270223,הגליל התחתון,63078.79048
571141,חולון,62499.097
719591,גולן,62194.29945
731687,רמת גן,61899.13845
