school,city,average badget,per student
540112,תל אביב-יפו,24564909.41,17135.12096
800144,תל שבע,24555540.73,19967.10093
348250,אום אל-פחם,24532706.38,23126.60858
770065,ברנר,24530082.26,22801.71246
470963,יבנה,24518467.84,22261.1838
442061,נס ציונה,24409886.64,19232.49814
248559,אבו סנאן,24308002.02,21086.0531
540492,בת ים,24305037.01,20379.8734
640128,אשדוד,24263120.69,27761.00766
144741,מודיעין מכבים רעות,24232031.8,20227.07162
770586,בת ים,24204434.53,23157.70621
240465,מעלות-תרשיחא,24153250.04,32429.17567
260307,הגליל העליון,24141109.3,26320.44188
441212,נתניה,24100438.42,25853.29159
140061,ירושלים,24080142.86,22614.70967
340059,קרית טבעון,23961055.25,24550.26153
248021,נצרת,23826633.79,23917.52036
144501,מבשרת ציון,23740337.7,23888.44607
444653,יבנה,23680501.15,24090.03169
247122,ביר אל-מכסור,23668151.55,21975.99959
441089,גזר,23650666.36,21793.83188
440198,גדרה,23616936.88,21678.84788
340208,חיפה,23591215.19,21847.76365
540070,תל אביב-יפו,23558682.05,18898.34915
420489,ראשון לציון,23527890.89,19425.27319
140715,ירושלים,23408460.79,17440.36715
247106,אעבלין,23309619.34,21707.59856
441758,ראשון לציון,23287234.92,21666.5751
490037,נתניה,23070939.62,20606.41266
470625,חוף השרון,23038376.07,19664.02874
800052,סח'נין,23020757.54,24849.6951
441139,פתח תקוה,22973214.56,18296.60286
440909,קדומים,22894005.04,26260.61601
800037,כסיפה,22731858.09,23148.53166
648238,רהט,22654986.03,17562.00467
540328,הרצליה,22607385.52,28266.29847
440099,פתח תקוה,22607202.85,19675.54643
348037,אום אל-פחם,22582709.43,23147.50865
480020,פתח תקוה,22532796.19,46962.89326
344382,חדרה,22530656.98,22041.33925
644732,קרית גת,22528651.55,22610.04772
340190,חיפה,22454277.97,21271.57822
444562,רעננה,22393805.96,24810.33232
470591,פתח תקוה,22185321.19,26684.29298
249235,בעיינה-נג'יידאת,22181242.77,20890.22675
370122,טירת כרמל,22145781.16,25449.07051
348201,ג'סר א-זרקא,22059626.99,18812.57632
248104,מג'אר,21983771.96,21364.20987
248195,באקה אל-גרביה,21848805.75,20899.94811
248575,עראבה,21830418.21,23816.73381
540864,חולון,21823428.47,22489.10601
248336,כסרא-סמיע,21807891.26,24409.99693
140046,ירושלים,21787986.97,29159.51147
644450,אשקלון,21710128.93,19315.06133
640318,שדרות,21590828.88,28394.04114
540351,בת ים,21558956.54,19954.6062
140087,ירושלים,21536567.52,28181.84706
380055,חוף הכרמל,21500198.21,25158.20057
571174,בת ים,21443578.43,27647.72876
442277,גן יבנה,21342403.79,20345.47549
248203,טמרה,21238378.23,18895.3543
140723,ירושלים,21116558.82,20825.0087
